section_id,course_id,subject_code,catalog_number,instructors,status,available_seats,waitlist_total,capacity,enrolled,instruction_mode,is_asynchronous,section_requisites
,,,,"Sara Kelm,Lindsay Jacoby",CLOSED,,,19,19,,,
,,,,"Sara Kelm,Song Zhou",OPEN,,,19,18,,,
,,,,"Sara Kelm,Shourya Mohaniya",CLOSED,,,19,19,,,
,,,,"Sara Kelm,Dylan Couch",CLOSED,,,19,19,,,
,,,,"Sara Kelm,Shah Tazrian Ashrafi",CLOSED,,,19,19,,,
,,,,"Sara Kelm,Gabriella Balza",CLOSED,,,19,19,,,
,,,,"Kate Merz,Sara Kelm",CLOSED,,,19,19,,,
,,,,"Sara Kelm,Hannah Mackey",CLOSED,,,19,19,,,
,,,,"Sara Kelm,Nafisa Omar",CLOSED,,,19,19,,,
,,,,"Sara Kelm,Mandy Tu",CLOSED,,,19,19,,,
,,,,"Sara Kelm,Vivian Nash",CLOSED,,,19,19,,,
,,,,"Sara Kelm,Javier Rosario",CLOSED,,,19,19,,,
,,,,"Sara Kelm,Rabia Perez",CLOSED,,,19,19,,,
,,,,"Sara Kelm,Ruth Adeniyi",CLOSED,,,19,19,,,
,,,,"Sara Kelm,Lilian Abunga",OPEN,,,19,18,,,
,,,,"Sara Kelm,Ellie Kincaid",OPEN,,,19,18,,,
,,,,"Sara Kelm,RIMA Hammo",CLOSED,,,19,19,,,
,,,,"Sara Kelm,CADE Olmstead",OPEN,,,19,18,,,
,,,,"Sara Kelm,Rogelio Ramires",OPEN,,,19,17,,,
,,,,"Sara Kelm,Nicole Ramer",CLOSED,,,19,19,,,
,,,,"Sara Kelm,Macy Floyd",CLOSED,,,19,19,,,
,,,,"Sara Kelm,Jason Han",CLOSED,,,19,19,,,
,,,,"Sara Kelm,Joseph Turner",CLOSED,,,19,19,,,
,,,,"Sara Kelm,Oscar Useche",CLOSED,,,19,19,,,
,,,,"Sara Kelm,Katherine Liu",OPEN,,,19,18,,,
,,,,"Sara Kelm,William Zeng",OPEN,,,19,18,,,
,,,,"Sara Kelm,Aruzhan Dauletkhan",CLOSED,,,19,19,,,
,,,,"Sara Kelm,Kevin De Armas",CLOSED,,,19,19,,,
,,,,"Sara Kelm,Iman Sheydaei",CLOSED,,,19,19,,,
,,,,"Sara Kelm,Zimo Kong",CLOSED,,,19,19,,,
,,,,"Sara Kelm,Evangeline Wilder",OPEN,,,19,18,,,
,,,,"Sara Kelm,Addison McDaniel",OPEN,,,19,18,,,
,,,,"Sara Kelm,Lucas Annear",CLOSED,,,19,19,,,
,,,,"Sara Kelm,Andrew Buchheim",CLOSED,,,19,19,,,
,,,,Lowell Brower,OPEN,,,20,19,,,
,,,,Lowell Brower,OPEN,,,20,19,,,
,,,,Lowell Brower,OPEN,,,20,16,,,
,,,,Lowell Brower,OPEN,,,20,17,,,
,,,,Lowell Brower,OPEN,,,20,18,,,
,,,,Lowell Brower,WAITLISTED,,,20,20,,,
,,,,Lowell Brower,OPEN,,,20,19,,,
,,,,Lowell Brower,WAITLISTED,,,20,20,,,
,,,,Lowell Brower,WAITLISTED,,,20,20,,,
,,,,Lowell Brower,WAITLISTED,,,20,20,,,
,,,,Stephen Meyers,OPEN,,,23,16,,,
,,,,Stephen Meyers,CLOSED,,,23,23,,,
,,,,Stephen Meyers,CLOSED,,,23,23,,,
,,,,Stephen Meyers,CLOSED,,,23,23,,,
,,,,Stephen Meyers,OPEN,,,23,22,,,
,,,,Stephen Meyers,OPEN,,,23,22,,,
,,,,Stephen Meyers,CLOSED,,,23,23,,,
,,,,Stephen Meyers,OPEN,,,23,22,,,
,,,,Stephen Meyers,OPEN,,,23,21,,,
,,,,Stephen Meyers,OPEN,,,23,22,,,
,,,,Stephen Meyers,CLOSED,,,23,23,,,
,,,,Stephen Meyers,OPEN,,,23,19,,,
,,,,Stephen Meyers,CLOSED,,,23,23,,,
,,,,Stephen Meyers,CLOSED,,,23,23,,,
,,,,Stephen Meyers,OPEN,,,23,22,,,
,,,,Stephen Meyers,CLOSED,,,23,24,,,
,,,,Stephen Meyers,CLOSED,,,23,23,,,
,,,,Stephen Meyers,CLOSED,,,23,23,,,
,,,,Stephen Meyers,OPEN,,,23,20,,,
,,,,Stephen Meyers,CLOSED,,,23,28,,,
,,,,Nina Caputo,OPEN,,,35,17,,,
,,,,Nina Caputo,OPEN,,,35,17,,,
,,,,Erin Mcgowan,OPEN,,,100,89,,,
,,,,Erin Mcgowan,OPEN,,,100,87,,,
,,,,"Dominique Brossard,Maya Ticku",WAITLISTED,,,12,15,,,
,,,,"Dominique Brossard,Maya Ticku",WAITLISTED,,,12,16,,,
,,,,"Dominique Brossard,Alexander Kiner",WAITLISTED,,,12,14,,,
,,,,"Dominique Brossard,Veronica Mingle",WAITLISTED,,,12,14,,,
,,,,"Dominique Brossard,Veronica Mingle",WAITLISTED,,,12,16,,,
,,,,"Dominique Brossard,Anna Long",WAITLISTED,,,12,16,,,
,,,,"Dominique Brossard,Alexander Kiner",WAITLISTED,,,12,15,,,
,,,,"Dominique Brossard,Anna Long",WAITLISTED,,,12,16,,,
,,,,Timothy Paustian,OPEN,,,350,315,,,
,,,,Sarah Zurawski,OPEN,,,75,66,,,
,,,,"Gabbie Puma,Carlyn Mueller",OPEN,,,80,77,,,
,,,,"Miso Kwak,Gary Lu",OPEN,,,80,73,,,
,,,,Yolanda Shelton-Morris,OPEN,,,80,78,,,
,,,,"Dan Lisowski,Stephen Tabor",OPEN,,,20,19,,,
,,,,"Dan Lisowski,Stephen Tabor",OPEN,,,20,17,,,
,,,,"Dan Lisowski,Stephen Tabor",OPEN,,,20,17,,,
,,,,"Dan Lisowski,Stephen Tabor",OPEN,,,20,14,,,
,,,,"Dan Lisowski,Stephen Tabor",WAITLISTED,,,25,25,,,
,,,,"Dan Lisowski,Stephen Tabor",OPEN,,,25,24,,,
,,,,"Dan Lisowski,Stephen Tabor",OPEN,,,25,20,,,
,,,,"Dan Lisowski,Stephen Tabor",OPEN,,,25,24,,,
,,,,"Dan Lisowski,Stephen Tabor",OPEN,,,25,19,,,
,,,,"Dan Lisowski,Stephen Tabor",OPEN,,,25,19,,,
,,,,Jessica Stovall,OPEN,,,30,9,,,
,,,,Dustin Frye,OPEN,,,25,10,,,
,,,,Dustin Frye,OPEN,,,25,13,,,
,,,,Dustin Frye,OPEN,,,25,13,,,
,,,,Victor Jew,OPEN,,,60,27,,,
,,,,"Jonathan Martin,Adrianna Modelska",CLOSED,,,25,25,,,
,,,,"Jonathan Martin,Adrianna Modelska",OPEN,,,25,6,,,
,,,,"Jonathan Martin,Adrianna Modelska",OPEN,,,25,14,,,
,,,,"Jonathan Martin,Adrianna Modelska",OPEN,,,25,13,,,
,,,,"Jonathan Martin,Adrianna Modelska",OPEN,,,25,22,,,
,,,,"Sharon Thoma,Hilary Dugan",CLOSED,,,400,211,,,
,,,,"Sharon Thoma,Hilary Dugan",CLOSED,,,400,117,,,
,,,,"Jia Zhou,Xiaotian Gong",CLOSED,,,0,1,,,
,,,,"Kimberly Deglopper,SHASHANK Ramesh",CLOSED,,,0,1,,,
,,,,"Jia Zhou,Yajing Lu",CLOSED,,,0,2,,,
,,,,"Alberta Gloria,Yesenia Uribe",OPEN,,,12,5,,,
,,,,"Alberta Gloria,Yesenia Uribe",OPEN,,,12,11,,,
,,,,"Alberta Gloria,Yesenia Uribe",OPEN,,,12,8,,,
,,,,Aj Juarez,OPEN,,,25,21,,,
,,,,Rena Kornblum,OPEN,,,25,20,,,
,,,,Aj Juarez,OPEN,,,30,22,,,
,,,,Karen Mcshane-Hellenbrand,OPEN,,,30,23,,,
,,,,Lars Shimabukuro,OPEN,,,16,14,,,
,,,,Gregory Pac,OPEN,,,23,17,,,
,,,,Gregory Pac,OPEN,,,23,22,,,
,,,,Gregory Pac,OPEN,,,23,22,,,
,,,,Gregory Pac,OPEN,,,23,17,,,
,,,,Gregory Pac,OPEN,,,23,22,,,
,,,,Gregory Pac,OPEN,,,23,22,,,
,,,,Gregory Pac,OPEN,,,23,20,,,
,,,,Gregory Pac,OPEN,,,23,21,,,
,,,,Gregory Pac,OPEN,,,23,21,,,
,,,,Gregory Pac,CLOSED,,,23,23,,,
,,,,Gregory Pac,CLOSED,,,23,23,,,
,,,,Gregory Pac,OPEN,,,23,21,,,
,,,,Gregory Pac,CLOSED,,,23,23,,,
,,,,Gregory Pac,CLOSED,,,23,23,,,
,,,,Steve Trost,CLOSED,,,23,25,,,
,,,,Steve Trost,CLOSED,,,23,24,,,
,,,,Steve Trost,CLOSED,,,23,23,,,
,,,,Steve Trost,CLOSED,,,23,23,,,
,,,,Steve Trost,CLOSED,,,23,22,,,
,,,,Steve Trost,CLOSED,,,23,23,,,
,,,,Steve Trost,CLOSED,,,23,23,,,
,,,,Steve Trost,CLOSED,,,23,22,,,
,,,,Steve Trost,CLOSED,,,23,23,,,
,,,,Steve Trost,CLOSED,,,23,23,,,
,,,,Steve Trost,CLOSED,,,23,23,,,
,,,,Steve Trost,CLOSED,,,23,23,,,
,,,,Steve Trost,CLOSED,,,23,23,,,
,,,,Korinna Hansen,OPEN,,,23,14,,,
,,,,Korinna Hansen,OPEN,,,23,11,,,
,,,,Korinna Hansen,OPEN,,,23,10,,,
,,,,Korinna Hansen,OPEN,,,23,14,,,
,,,,Korinna Hansen,OPEN,,,23,15,,,
,,,,Korinna Hansen,OPEN,,,23,18,,,
,,,,Korinna Hansen,OPEN,,,23,11,,,
,,,,Korinna Hansen,OPEN,,,23,6,,,
,,,,Korinna Hansen,OPEN,,,23,17,,,
,,,,Korinna Hansen,OPEN,,,23,19,,,
,,,,Korinna Hansen,OPEN,,,23,16,,,
,,,,Korinna Hansen,OPEN,,,23,19,,,
,,,,David Johnson,OPEN,,,23,19,,,
,,,,David Johnson,OPEN,,,23,19,,,
,,,,David Johnson,OPEN,,,23,16,,,
,,,,David Johnson,OPEN,,,23,13,,,
,,,,David Johnson,OPEN,,,23,13,,,
,,,,David Johnson,OPEN,,,23,12,,,
,,,,David Johnson,CLOSED,,,23,23,,,
,,,,David Johnson,OPEN,,,23,13,,,
,,,,David Johnson,OPEN,,,23,21,,,
,,,,David Johnson,OPEN,,,23,17,,,
,,,,David Johnson,OPEN,,,23,20,,,
,,,,Nadia Noor,OPEN,,,200,104,,,
,,,,Audrey Jones,OPEN,,,26,7,,,
,,,,Esther Roux-Bourgeois,OPEN,,,26,20,,,
,,,,Ian Irvine,OPEN,,,26,23,,,
,,,,Emma Carter,OPEN,,,26,18,,,
,,,,Rachel Kuo,WAITLISTED,,,20,21,,,
,,,,Rachel Kuo,WAITLISTED,,,20,20,,,
,,,,Rachel Kuo,WAITLISTED,,,20,20,,,
,,,,Rachel Kuo,WAITLISTED,,,20,20,,,
,,,,Rachel Kuo,CLOSED,,,20,19,,,
,,,,Rachel Kuo,WAITLISTED,,,20,20,,,
,,,,Rachel Kuo,WAITLISTED,,,20,20,,,
,,,,Rachel Kuo,WAITLISTED,,,20,20,,,
,,,,Rachel Kuo,WAITLISTED,,,20,20,,,
,,,,Rachel Kuo,WAITLISTED,,,20,20,,,
,,,,Rachel Kuo,WAITLISTED,,,20,20,,,
,,,,Rachel Kuo,WAITLISTED,,,20,20,,,
,,,,William Gartner,OPEN,,,17,11,,,
,,,,William Gartner,OPEN,,,17,15,,,
,,,,William Gartner,OPEN,,,17,8,,,
,,,,William Gartner,OPEN,,,17,13,,,
,,,,William Gartner,OPEN,,,17,10,,,
,,,,William Gartner,OPEN,,,17,5,,,
,,,,William Gartner,OPEN,,,17,1,,,
,,,,William Gartner,OPEN,,,17,3,,,
,,,,William Gartner,OPEN,,,17,15,,,
,,,,William Gartner,OPEN,,,17,15,,,
,,,,William Gartner,WAITLISTED,,,14,14,,,
,,,,William Gartner,WAITLISTED,,,14,14,,,
,,,,"Jeanne Schueller,Anastasiia Stolyarova",OPEN,,,22,11,,,
,,,,"Jeanne Schueller,Isabella Richter",OPEN,,,22,10,,,
,,,,"Jeanne Schueller,Anastasiia Stolyarova",OPEN,,,22,5,,,
,,,,Francis Russo,CLOSED,,,126,107,,,
,,,,Francis Russo,OPEN,,,18,11,,,
,,,,Francis Russo,OPEN,,,18,6,,,
,,,,Francis Russo,OPEN,,,18,17,,,
,,,,Francis Russo,OPEN,,,18,14,,,
,,,,Francis Russo,OPEN,,,18,13,,,
,,,,Francis Russo,OPEN,,,18,15,,,
,,,,Lisa Bhungalia,OPEN,,,17,14,,,
,,,,Lisa Bhungalia,CLOSED,,,17,17,,,
,,,,Lisa Bhungalia,OPEN,,,17,12,,,
,,,,Lisa Bhungalia,CLOSED,,,17,17,,,
,,,,Lisa Bhungalia,OPEN,,,17,16,,,
,,,,Lisa Bhungalia,OPEN,,,17,14,,,
,,,,Sebastian Jimenez,OPEN,,,26,25,,,
,,,,Sara Coppola,OPEN,,,26,12,,,
,,,,Ryan Henke,OPEN,,,25,14,,,
,,,,Ryan Henke,OPEN,,,25,8,,,
,,,,Ryan Henke,OPEN,,,25,14,,,
,,,,Ryan Henke,WAITLISTED,,,25,25,,,
,,,,Ryan Henke,OPEN,,,25,12,,,
,,,,Ryan Henke,OPEN,,,25,10,,,
,,,,Ryan Henke,WAITLISTED,,,25,23,,,
,,,,Ryan Henke,OPEN,,,25,12,,,
,,,,"Katrina Forest,Briana Burton",OPEN,,,400,360,,,
,,,,Emma Cifrino,OPEN,,,10,7,,,
,,,,Emma Cifrino,OPEN,,,20,9,,,
,,,,Emma Cifrino,OPEN,,,21,20,,,
,,,,Emma Cifrino,OPEN,,,20,19,,,
,,,,Emma Cifrino,CLOSED,,,20,20,,,
,,,,Emma Cifrino,OPEN,,,20,11,,,
,,,,Emma Cifrino,CLOSED,,,20,20,,,
,,,,Emma Cifrino,CLOSED,,,20,20,,,
,,,,Emma Cifrino,CLOSED,,,20,20,,,
,,,,"Alexandra Flint,Carmen Lemos Gonzalez",OPEN,,,12,2,,,
,,,,Bruno Whittle,WAITLISTED,,,23,23,,,
,,,,Bruno Whittle,OPEN,,,23,22,,,
,,,,Bruno Whittle,WAITLISTED,,,24,24,,,
,,,,Farid Masrour,WAITLISTED,,,23,23,,,
,,,,Farid Masrour,OPEN,,,23,22,,,
,,,,Farid Masrour,OPEN,,,26,23,,,
,,,,Danielle Clevenger,OPEN,,,23,22,,,
,,,,Danielle Clevenger,WAITLISTED,,,23,23,,,
,,,,Danielle Clevenger,OPEN,,,23,22,,,
,,,,Matthew Maxwell,OPEN,,,25,21,,,
,,,,Matthew Maxwell,OPEN,,,23,20,,,
,,,,Matthew Maxwell,OPEN,,,23,22,,,
,,,,Nadia Noor,OPEN,,,200,49,,,
,,,,Hanna Ballard,OPEN,,,27,25,,,
,,,,Reagan Crouse,OPEN,,,27,24,,,
,,,,Tyler Sampson,OPEN,,,27,20,,,
,,,,Alyssa Pon-Franklin,OPEN,,,27,21,,,
,,,,Alba Martin Bafalluy,OPEN,,,27,13,,,
,,,,"Sharon Thoma,Hilary Dugan",CLOSED,,,400,106,,,
,,,,"Sharon Thoma,Hilary Dugan",CLOSED,,,400,64,,,
,,,,Ethelene Whitmire,OPEN,,,20,3,,,
,,,,Ethelene Whitmire,OPEN,,,20,5,,,
,,,,Ethelene Whitmire,CLOSED,,,20,6,,,
,,,,Ethelene Whitmire,OPEN,,,20,4,,,
,,,,Ethelene Whitmire,OPEN,,,20,5,,,
,,,,Ethelene Whitmire,CLOSED,,,20,2,,,
,,,,Ethelene Whitmire,CLOSED,,,20,1,,,
,,,,Ethelene Whitmire,CLOSED,,,20,5,,,
,,,,"Ryan Hansen,Scott Gross,Divot Ware,Matthew Hodge,Nathan Mallow",OPEN,,,30,15,,,
,,,,"Ryan Hansen,Scott Gross,Divot Ware,Matthew Hodge,Nathan Mallow",OPEN,,,30,12,,,
,,,,Ethelene Whitmire,OPEN,,,20,3,,,
,,,,Ethelene Whitmire,OPEN,,,20,1,,,
,,,,Ethelene Whitmire,WAITLISTED,,,20,4,,,
,,,,Ethelene Whitmire,OPEN,,,20,4,,,
,,,,Ethelene Whitmire,OPEN,,,20,3,,,
,,,,Ethelene Whitmire,WAITLISTED,,,20,7,,,
,,,,Ethelene Whitmire,WAITLISTED,,,20,4,,,
,,,,Ethelene Whitmire,WAITLISTED,,,20,2,,,
,,,,Henry Bunn,OPEN,,,22,13,,,
,,,,Henry Bunn,OPEN,,,22,10,,,
,,,,Henry Bunn,OPEN,,,22,5,,,
,,,,Henry Bunn,OPEN,,,22,11,,,
,,,,Henry Bunn,OPEN,,,22,7,,,
,,,,Henry Bunn,OPEN,,,22,6,,,
,,,,Henry Bunn,OPEN,,,22,9,,,
,,,,Henry Bunn,OPEN,,,22,13,,,
,,,,Chitwing Ng,OPEN,,,18,13,,,
,,,,Mallory Stowe,OPEN,,,18,17,,,
,,,,Matthew Everett,WAITLISTED,,,18,18,,,
,,,,Chitwing Ng,OPEN,,,18,13,,,
,,,,Tiange Li,OPEN,,,18,16,,,
,,,,Tiange Li,OPEN,,,18,17,,,
,,,,Ethelene Whitmire,OPEN,,,20,1,,,
,,,,Ethelene Whitmire,OPEN,,,20,2,,,
,,,,Ethelene Whitmire,CLOSED,,,20,3,,,
,,,,Ethelene Whitmire,OPEN,,,20,1,,,
,,,,Ethelene Whitmire,OPEN,,,20,2,,,
,,,,Ethelene Whitmire,CLOSED,,,20,2,,,
,,,,Ethelene Whitmire,CLOSED,,,20,2,,,
,,,,Ethelene Whitmire,CLOSED,,,20,1,,,
,,,,"Tianlu Zhang,Xinyi Fu",OPEN,,,18,12,,,
,,,,"Tianlu Zhang,Shiyu Xiong",WAITLISTED,,,18,19,,,
,,,,"Tianlu Zhang,Yang Liu",OPEN,,,18,15,,,
,,,,"Tianlu Zhang,Yang Liu",OPEN,,,18,16,,,
,,,,"Shaun Marcott,Natasha Morgan-Witts,Yasmeen Orellana Salazar,Marianne Haseloff",OPEN,,,120,78,,,
,,,,"Gale Oakes,Jinhui Wang",WAITLISTED,,,24,14,,,
,,,,"Gale Oakes,Jinhui Wang",WAITLISTED,,,24,15,,,
,,,,"Gale Oakes,Katie Bollini",OPEN,,,24,14,,,
,,,,"Gale Oakes,Jinhui Wang",WAITLISTED,,,24,21,,,
,,,,"Gale Oakes,Emily Kerns",WAITLISTED,,,24,12,,,
,,,,"Gale Oakes,Emily Adler",OPEN,,,24,18,,,
