ID,LegacyID,FirstName,LastName,Department,AvgRating,NumRatings,AvgDifficulty,WouldTakeAgainPercent,CleanedFirstName,CleanedLastName,instructors,BestCourseMatch,MatchScore
VGVhY2hlci04MzMwNDE=,833041,Douglass,Henderson,Engineering,3.2,13,3.8,100.0,Douglass,Henderson,Douglass Henderson,Douglass Henderson,100
VGVhY2hlci0yMjkyODQy,2292842,Abdalla,Zanouny,Chemistry,5.0,2,2.0,100.0,Abdalla,Zanouny,Abdalla Zanouny,,0
VGVhY2hlci02NDAzNzA=,640370,Monika,Chavez,Languages,4.7,14,2.4,85.7143,Monika,Chavez,Monika Chavez,,0
VGVhY2hlci0yNzA4NDUx,2708451,Debora,Bellinzani,Languages,3.0,1,2.0,100.0,Debora,Bellinzani,Debora Bellinzani,,0
VGVhY2hlci0yNjE3MjE0,2617214,Nazan,Gillie,Biology,3.5,2,2.0,50.0,Nazan,Gillie,Nazan Gillie,,0
VGVhY2hlci01MDE5NzU=,501975,Anna,Gemrich,Languages,3.5,17,3.2,100.0,Anna,Gemrich,Anna Gemrich,,0
VGVhY2hlci03NjcyNjM=,767263,Georghe,Craciun,Mathematics,2.9,43,2.7,38.4615,Georghe,Craciun,Georghe Craciun,Gheorghe Craciun,97
VGVhY2hlci0yNjkxODk3,2691897,David,Rank,Political Science,3.0,1,3.0,0.0,David,Rank,David Rank,David Drake,86
VGVhY2hlci0yNjI0ODI5,2624829,Megan,Adams,Information Science,4.0,2,3.0,50.0,Megan,Adams,Megan Adams,Megan Adams,100
VGVhY2hlci0yMzI5NDI5,2329429,Margie,Rosenberg,Business,3.5,2,4.5,50.0,Margie,Rosenberg,Margie Rosenberg,Margie Rosenberg,100
VGVhY2hlci0xNTIyOTkz,1522993,Hussain,Bahia,Engineering,2.3,4,2.8,100.0,Hussain,Bahia,Hussain Bahia,Hussain Bahia,100
VGVhY2hlci0yNDAyNDMx,2402431,Nan,Chen,Mathematics,4.6,29,3.1,86.2069,Nan,Chen,Nan Chen,Nan Chen,100
